split,tag,step,value
train,loss,200,0.13264194130897522
train,soft_confidence/effective_loss_delta/0,200,0.002298906445503235
train,soft_confidence/effective_loss_delta/1,200,0.0023002028465270996
train,soft_confidence/effective_loss_delta/2,200,0.0022946298122406006
train,soft_confidence/margin_mean/0,200,0.0037960526533424854
train,soft_confidence/margin_mean/1,200,0.0039374371990561485
train,soft_confidence/margin_mean/2,200,0.0037789810448884964
train,soft_confidence/multiplier_mean/0,200,0.9742361307144165
train,soft_confidence/multiplier_mean/1,200,0.974280595779419
train,soft_confidence/multiplier_mean/2,200,0.9746390581130981
train,soft_confidence/multiplier_mean_warped/0,200,0.9485266804695129
train,soft_confidence/multiplier_mean_warped/1,200,0.9486122131347656
train,soft_confidence/multiplier_mean_warped/2,200,0.9490042328834534
train,soft_confidence/photo_loss_after/0,200,0.13265439867973328
train,soft_confidence/photo_loss_after/1,200,0.13259702920913696
train,soft_confidence/photo_loss_after/2,200,0.13266001641750336
train,soft_confidence/photo_loss_before/0,200,0.1349533051252365
train,soft_confidence/photo_loss_before/1,200,0.13489723205566406
train,soft_confidence/photo_loss_before/2,200,0.13495464622974396
train,soft_confidence/warped_winner_fraction/0,200,0.5005269646644592
train,soft_confidence/warped_winner_fraction/1,200,0.5004957318305969
train,soft_confidence/warped_winner_fraction/2,200,0.49731311202049255
train,soft_confidence/weak_pixel_fraction/0,200,0.5298926830291748
train,soft_confidence/weak_pixel_fraction/1,200,0.52916419506073
train,soft_confidence/weak_pixel_fraction/2,200,0.5268082618713379
val,loss,200,0.1318761110305786
val,soft_confidence/effective_loss_delta/0,200,0.002217113971710205
val,soft_confidence/effective_loss_delta/1,200,0.0022208094596862793
val,soft_confidence/effective_loss_delta/2,200,0.002226099371910095
val,soft_confidence/margin_mean/0,200,0.01807556301355362
val,soft_confidence/margin_mean/1,200,0.017997460439801216
val,soft_confidence/margin_mean/2,200,0.0177818201482296
val,soft_confidence/multiplier_mean/0,200,0.9686009287834167
val,soft_confidence/multiplier_mean/1,200,0.9686346650123596
val,soft_confidence/multiplier_mean/2,200,0.9689373970031738
val,soft_confidence/multiplier_mean_warped/0,200,0.9456322193145752
val,soft_confidence/multiplier_mean_warped/1,200,0.9456501007080078
val,soft_confidence/multiplier_mean_warped/2,200,0.9458625316619873
val,soft_confidence/photo_loss_after/0,200,0.1317095011472702
val,soft_confidence/photo_loss_after/1,200,0.13184529542922974
val,soft_confidence/photo_loss_after/2,200,0.13205985724925995
val,soft_confidence/photo_loss_before/0,200,0.1339266151189804
val,soft_confidence/photo_loss_before/1,200,0.13406610488891602
val,soft_confidence/photo_loss_before/2,200,0.13428595662117004
val,soft_confidence/warped_winner_fraction/0,200,0.577531635761261
val,soft_confidence/warped_winner_fraction/1,200,0.577099621295929
val,soft_confidence/warped_winner_fraction/2,200,0.573773205280304
val,soft_confidence/weak_pixel_fraction/0,200,0.5336124300956726
val,soft_confidence/weak_pixel_fraction/1,200,0.5337368845939636
val,soft_confidence/weak_pixel_fraction/2,200,0.5329284071922302
