tag,step,value
ema_distill/l_si,1780,0.056711021810770035
ema_distill/l_struct,1780,0.03954688832163811
ema_distill/keep_ratio,1780,0.9036465287208557
ema_distill/keep_ratio_canopy,1780,0.9066069722175598
ema_distill/gamma,1780,0.0001500000071246177
ema_distill/total,1780,1.1472669939394109e-05
ema_distill/l_si,2000,0.05155712738633156
ema_distill/l_struct,2000,0.030816201120615005
ema_distill/keep_ratio,2000,0.9155707955360413
ema_distill/keep_ratio_canopy,2000,0.9102651476860046
ema_distill/gamma,2000,0.033149998635053635
ema_distill/total,2000,0.0022198972292244434
ema_distill/l_si,2030,0.05159495398402214
ema_distill/l_struct,2030,0.03933544456958771
ema_distill/keep_ratio,2030,0.889935314655304
ema_distill/keep_ratio_canopy,2030,0.8790701031684875
ema_distill/gamma,2030,0.03765000030398369
ema_distill/total,2030,0.002683039754629135
ema_distill/l_si,2136,0.033539652824401855
ema_distill/l_struct,2136,0.02076062373816967
ema_distill/keep_ratio,2136,0.9059841632843018
ema_distill/keep_ratio_canopy,2136,0.8882734179496765
ema_distill/gamma,2136,0.05355000123381615
ema_distill/total,2136,0.0023519142996519804
ema_distill/l_si,2386,0.029247991740703583
ema_distill/l_struct,2386,0.02173708565533161
ema_distill/keep_ratio,2386,0.9114190340042114
ema_distill/keep_ratio_canopy,2386,0.8937421441078186
ema_distill/gamma,2386,0.09104999899864197
ema_distill/total,2386,0.0036526103504002094
ema_distill/l_si,2492,0.022907158359885216
ema_distill/l_struct,2492,0.019035320729017258
ema_distill/keep_ratio,2492,0.8869554400444031
ema_distill/keep_ratio_canopy,2492,0.8683627247810364
ema_distill/gamma,2492,0.10694999992847443
ema_distill/total,2492,0.003467834321781993
ema_distill/l_si,2742,0.018648795783519745
ema_distill/l_struct,2742,0.016451681032776833
ema_distill/keep_ratio,2742,0.9140387773513794
ema_distill/keep_ratio_canopy,2742,0.9114100337028503
ema_distill/gamma,2742,0.14444999396800995
ema_distill/total,2742,0.0038820409681648016
ema_distill/l_si,2848,0.019404176622629166
ema_distill/l_struct,2848,0.014038613997399807
ema_distill/keep_ratio,2848,0.9126817584037781
ema_distill/keep_ratio_canopy,2848,0.9118770360946655
ema_distill/gamma,2848,0.1603499948978424
ema_distill/total,2848,0.004237005487084389
ema_distill/l_si,3098,0.025263847783207893
ema_distill/l_struct,3098,0.015328814275562763
ema_distill/keep_ratio,3098,0.9047695994377136
ema_distill/keep_ratio_canopy,3098,0.8971297740936279
ema_distill/gamma,3098,0.19785000383853912
ema_distill/total,3098,0.006514855194836855
ema_distill/l_si,3204,0.04209718480706215
ema_distill/l_struct,3204,0.02093045972287655
ema_distill/keep_ratio,3204,0.8898898959159851
ema_distill/keep_ratio_canopy,3204,0.8869376182556152
ema_distill/gamma,3204,0.21375000476837158
ema_distill/total,3204,0.01123521663248539
ema_distill/l_si,3454,0.02257237769663334
ema_distill/l_struct,3454,0.011454964056611061
ema_distill/keep_ratio,3454,0.8996765613555908
ema_distill/keep_ratio_canopy,3454,0.8919495344161987
ema_distill/gamma,3454,0.2512499988079071
ema_distill/total,3454,0.007110340055078268
ema_distill/l_si,3560,0.012992830947041512
ema_distill/l_struct,3560,0.009890107437968254
ema_distill/keep_ratio,3560,0.904736340045929
ema_distill/keep_ratio_canopy,3560,0.9102415442466736
ema_distill/gamma,3560,0.26715001463890076
ema_distill/total,3560,0.004792105872184038
ema_distill/l_si,3810,0.015438336879014969
ema_distill/l_struct,3810,0.010995812714099884
ema_distill/keep_ratio,3810,0.9075568318367004
ema_distill/keep_ratio_canopy,3810,0.9071704149246216
ema_distill/gamma,3810,0.30000001192092896
ema_distill/total,3810,0.006280873436480761
ema_distill/l_si,3916,0.02080894075334072
ema_distill/l_struct,3916,0.013694562017917633
ema_distill/keep_ratio,3916,0.9166327714920044
ema_distill/keep_ratio_canopy,3916,0.917456865310669
ema_distill/gamma,3916,0.30000001192092896
ema_distill/total,3916,0.008296866901218891
ema_distill/l_si,4000,0.016675623133778572
ema_distill/l_struct,4000,0.01209547184407711
ema_distill/keep_ratio,4000,0.8772684931755066
ema_distill/keep_ratio_canopy,4000,0.877636730670929
ema_distill/gamma,4000,0.30000001192092896
ema_distill/total,4000,0.006817007903009653
ema_distill/l_si,4166,0.014869501814246178
ema_distill/l_struct,4166,0.011827507987618446
ema_distill/keep_ratio,4166,0.8806681632995605
ema_distill/keep_ratio_canopy,4166,0.8632677793502808
ema_distill/gamma,4166,0.30000001192092896
ema_distill/total,4166,0.0062349773943424225
ema_distill/l_si,4272,0.01373861264437437
ema_distill/l_struct,4272,0.01182935293763876
ema_distill/keep_ratio,4272,0.8857103586196899
ema_distill/keep_ratio_canopy,4272,0.857870876789093
ema_distill/gamma,4272,0.30000001192092896
ema_distill/total,4272,0.005895986687391996
ema_distill/l_si,4522,0.017723212018609047
ema_distill/l_struct,4522,0.012414451688528061
ema_distill/keep_ratio,4522,0.8915595412254333
ema_distill/keep_ratio_canopy,4522,0.8754680752754211
ema_distill/gamma,4522,0.30000001192092896
ema_distill/total,4522,0.007179131731390953
ema_distill/l_si,4628,0.01385953277349472
ema_distill/l_struct,4628,0.008705470710992813
ema_distill/keep_ratio,4628,0.890667736530304
ema_distill/keep_ratio_canopy,4628,0.8776636719703674
ema_distill/gamma,4628,0.30000001192092896
ema_distill/total,4628,0.0054636807180941105
ema_distill/l_si,4878,0.010641030967235565
ema_distill/l_struct,4878,0.009754206985235214
ema_distill/keep_ratio,4878,0.897076427936554
ema_distill/keep_ratio_canopy,4878,0.8753187656402588
ema_distill/gamma,4878,0.30000001192092896
ema_distill/total,4878,0.004655440337955952
ema_distill/l_si,4984,0.016116000711917877
ema_distill/l_struct,4984,0.009872977621853352
ema_distill/keep_ratio,4984,0.8810533285140991
ema_distill/keep_ratio_canopy,4984,0.8708568811416626
ema_distill/gamma,4984,0.30000001192092896
ema_distill/total,4984,0.006315746810287237
ema_distill/l_si,5234,0.012749433517456055
ema_distill/l_struct,5234,0.010404162108898163
ema_distill/keep_ratio,5234,0.8951640129089355
ema_distill/keep_ratio_canopy,5234,0.882837176322937
ema_distill/gamma,5234,0.30000001192092896
ema_distill/total,5234,0.005385454744100571
ema_distill/l_si,5340,0.01109214499592781
ema_distill/l_struct,5340,0.008456073701381683
ema_distill/keep_ratio,5340,0.8948764801025391
ema_distill/keep_ratio_canopy,5340,0.8832064867019653
ema_distill/gamma,5340,0.30000001192092896
ema_distill/total,5340,0.004596054553985596
ema_distill/l_si,5590,0.009060286916792393
ema_distill/l_struct,5590,0.007632552646100521
ema_distill/keep_ratio,5590,0.8847113847732544
ema_distill/keep_ratio_canopy,5590,0.8747429251670837
ema_distill/gamma,5590,0.30000001192092896
ema_distill/total,5590,0.0038629688788205385
ema_distill/l_si,5696,0.009642792865633965
ema_distill/l_struct,5696,0.007917436771094799
ema_distill/keep_ratio,5696,0.8885864615440369
ema_distill/keep_ratio_canopy,5696,0.8733577728271484
ema_distill/gamma,5696,0.30000001192092896
ema_distill/total,5696,0.004080453887581825
ema_distill/l_si,5946,0.011337180621922016
ema_distill/l_struct,5946,0.008889149874448776
ema_distill/keep_ratio,5946,0.8780904412269592
